Human Resources (HR);	Thandi Mokoena;	HR Manager;	thandi.mokoena@gauteng.gov.za;Available;0113551001
Human Resources (HR);	Samuel Dlamini;	HR Officer;	samuel.dlamini@gauteng.gov.za;	Busy;0113551002
Human Resources (HR);	Lerato Khumalo;	Recruitment Specialist;	lerato.khumalo@gauteng.gov.za;Available;0113551003
Finance;	Nhlanhla Maseko;	Chief Financial Officer;nhlanhla.maseko@gauteng.gov.za;Busy;0113552001
Finance	;Portia Molefe;	Financial Controller;	portia.molefe@ gauteng.gov.za;Away;0113552002
Finance;	Sipho Mabaso;	Accounts Payable;	sipho.mabaso@ gauteng.gov.za;Available;0113552003
Procurement;	Zanele Sithole;	Procurement Manager;	zanele.sithole@ gauteng.gov.za	;Available;0113553001
Procurement;	Jacob Nkosi;	Supply Chain Officer;	jacob.nkosi@gauteng.gov.za;Busy;0113553002
Procurement;	Palesa Ngwenya;	Contracts Administrator	;palesa.ngwenya@gauteng.gov.za;Available;0113553003
Information Technology (IT);	Andile Mthembu;	IT Manager;	andile.mthembu@gauteng.gov.za;Available;0113554001
Information Technology (IT);	Kabelo Radebe;	Systems Administrator;kabelo.radebe@gauteng.gov.za;	In a meeting;0113554002
Information Technology (IT);	Busi Mhlongo;	Helpdesk Technician;busi.mhlongo@gauteng.gov.za;Available;0113554003
Transport;	Sibusiso Ngcobo;	Transport Coordinator;	sibusiso.ngcobo@gauteng.gov.za;Available;0113555001
Transport;	Naledi Mahlangu;	Fleet Manager;	naledi.mahlangu@gauteng.gov.za;	Away;0113555002
Transport;	Peter Mavuso;	Driver Supervisor;	peter.mavuso@gauteng.gov.za;Busy;0113555003
